No.,取得日,会社名,会社所在地,施設名称,施設所在地（勤務地),URL,抽出元URL
100.0,2024/02/12,株式会社グローバルエージェンツ,東京都 渋谷区神南1-20-13 The Millennials 渋谷,UNWIND HOTEL＆BAR 小樽,北海道 小樽市色内１丁目８－２５,https://www.livelyhotels.com/ja/unwindotaru/,https://www.hotelkyujin.com/hotel-detail?c_no=4332
101.0,2024/02/12,I.P.S.株式会社,東京都 港区南青山2-2-15-942,MOSS CROSS TOKYO,東京都 渋谷区桜丘町3-3-16F ホテル「ハイアットハウス」,https://cross-tokyo.com,https://www.hotelkyujin.com/hotel-detail?c_no=4329
102.0,2024/02/12,サンフロンティアホテルマネジメント株式会社,東京都 千代田区有楽町1-2-2 東宝日比谷ビル8階,静楓亭,福島県 耶麻郡猪苗代町字大道南1640-6,https://seifutei.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=4328
103.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,ポイントバケーション近江びわ湖,滋賀県 草津市北山田町560,https://stayle.jp/pvoumibiwako/,https://www.hotelkyujin.com/hotel-detail?c_no=2849
104.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,ポイントバケーション有馬,兵庫県 神戸市北区有馬町1771-1,https://stayle.jp/pvarima/,https://www.hotelkyujin.com/hotel-detail?c_no=2847
105.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,ポイントバケーション那須,栃木県 那須郡那須町高久乙3375-275,https://stayle.jp/pvnasu/,https://www.hotelkyujin.com/hotel-detail?c_no=2846
106.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,ポイントバケーション湯の山温泉,三重県 三重郡菰野町大字千草7054-793,https://stayle.jp/pvyunoyama/,https://www.hotelkyujin.com/hotel-detail?c_no=2845
107.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,ゆとりろ山鹿,熊本県 山鹿市宗方通702,https://yutorelo-yamaga.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2839
108.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,ゆとりろ別府,大分県 別府氏大字野田22,https://www.yutorelo-beppu.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2838
109.0,2024/02/12,三光ソフランホールディングス株式会社,東京都 中央区八重洲1-3-7 八重洲ファーストフィナンシャルビル 13F,SANTORINI　HOTEL＆VILLAS MIYAKOJIMA,沖縄県 宮古島市伊良部池間添長山1 0 5 2番1、1 0 5 1番,https://www.sanko-soflan-hd.com/,https://www.hotelkyujin.com/hotel-detail?c_no=4302
110.0,2024/02/12,株式会社ホスピタリティオペレーションズ,東京都 千代田区神田錦町2-5-16 名古路ビル新館8階,スマイルホテル沖縄那覇,沖縄県 那覇市前島3-24-1,https://smile-hotels.com/hotels/show/okinawanaha,https://www.hotelkyujin.com/hotel-detail?c_no=1252
111.0,2024/02/12,株式会社三井不動産ホテルマネジメント,東京都 中央区日本橋本町2-2-5 日本橋本町二丁目ビル2階,三井ガーデンホテルズ / ザ セレスティンホテルズ/sequence,東京都 中央区日本橋本町2-2-5 日本橋本町二丁目ビル2階,https://corp.gardenhotels.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1262
112.0,2024/02/12,株式会社相鉄ホテルマネジメント,神奈川県 横浜市西区北幸2-9-14 相鉄本社ビル2階,相鉄フレッサイン日本橋人形町,東京都 中央区日本橋蛎殻町1-15-4,https://fresa-inn.jp/ningyocho/,https://www.hotelkyujin.com/hotel-detail?c_no=1273
113.0,2024/02/12,株式会社イシン・アカサカ・オペレーションズ,東京都 東京都中央区銀座1-2-3 西京橋ビル2階,the b 神戸,兵庫県 神戸市中央区下山手通二丁目11番5号,https://www.theb-hotels.com/theb/kobe/,https://www.hotelkyujin.com/hotel-detail?c_no=1320
114.0,2024/02/12,日本ホテル株式会社,東京都 豊島区西池袋一丁目6-1,JR東日本ホテルメッツ 渋谷,東京都 渋谷区渋谷3-29-17,https://www.hotelmets.jp/shibuya/,https://www.hotelkyujin.com/hotel-detail?c_no=1321
115.0,2024/02/12,リッチモンドホテル鹿児島金生町,鹿児島県 鹿児島市金生町5-3,リッチモンドホテル鹿児島金生町,鹿児島県 鹿児島市金生町5-3,https://richmondhotel.jp/kagoshima/?hotel_id=12,https://www.hotelkyujin.com/hotel-detail?c_no=1331
116.0,2024/02/12,株式会社サーラホテル＆レストランズ,愛知県 豊橋市駅前大通1-55,ホテル　デイバイデイ,静岡県 浜松市中央区中央3-10-25,https://hotel-daybyday.sala.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=1393
117.0,2024/02/12,アールエヌティーホテルズ株式会社,大阪府 大阪市浪速区敷津東1丁目8-31 リッチモンドホテルなんば大国町,リッチモンドホテルなんば大国町,大阪府 大阪市浪速区敷津東1-8-31,https://richmondhotel.jp/namba/,https://www.hotelkyujin.com/hotel-detail?c_no=1455
118.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル八戸,青森県 青森県八戸市八日町1-1,https://www.daiwaroynet.jp/hachinohe/,https://www.hotelkyujin.com/hotel-detail?c_no=1457
119.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル名古屋新幹線口,愛知県 名古屋市中村区椿町1-23,https://www.daiwaroynet.jp/nagoya-shinkansenguchi/,https://www.hotelkyujin.com/hotel-detail?c_no=1516
120.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル岡山駅前,岡山県 岡山県岡山市北区駅前町1-1-1,https://www.daiwaroynet.jp/okayamaekimae/,https://www.hotelkyujin.com/hotel-detail?c_no=1903
121.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル銀座 PREMIER,東京都 中央区銀座1丁目13-15,https://www.daiwaroynet.jp/ginza/,https://www.hotelkyujin.com/hotel-detail?c_no=1969
122.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル東京京橋 PREMIER,東京都 中央区京橋2-8-20,https://www.daiwaroynet.jp/tokyo-kyobashi/,https://www.hotelkyujin.com/hotel-detail?c_no=3568
123.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル千葉中央,千葉県 千葉市中央区本千葉町2-11,https://www.daiwaroynet.jp/chiba-chuo/,https://www.hotelkyujin.com/hotel-detail?c_no=3567
124.0,2024/02/12,磯原シーサイドホテル,茨城県 北茨城市磯原町磯原二ツ島2550,磯原シーサイドホテル,茨城県 北茨城市磯原町磯原二ツ島2550,https://www.isohara.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=810
125.0,2024/02/12,株式会社HERM,東京都 港区北青山2-12-4-304,Sowaka Luxury Hotel,京都府 京都市東山区下河原通八坂鳥居前下ル清井町480,https://sowaka.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3845
126.0,2024/02/12,ダイワロイネットマネジメント株式会社,京都府 京都市南区東九条西岩本町15,ダブルツリーbyヒルトン京都駅,京都府 京都市南区東九条西岩本町15,http://準備中,https://www.hotelkyujin.com/hotel-detail?c_no=4255
127.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー2階,ラフォーレ箱根強羅 湯の棲,神奈川県 足柄下郡箱根町強羅1320,https://www.laforet.co.jp/gora/,https://www.hotelkyujin.com/hotel-detail?c_no=2989
128.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー2階,ホテルラフォーレ那須,栃木県 栃木県那須郡那須町湯本206-959,https://www.laforet.co.jp/nasu/,https://www.hotelkyujin.com/hotel-detail?c_no=2979
129.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー2階,軽井沢マリオットホテル,長野県 北佐久郡軽井沢町長倉4339,https://www.karuizawa-marriott.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2980
130.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー,ラフォーレリゾート修善寺 〔伊豆マリオットホテル修善寺／ホテルラフォーレ修善寺〕,静岡県 静岡県伊豆市大平1529,https://www.laforet.co.jp/resort-shuzenji/,https://www.hotelkyujin.com/hotel-detail?c_no=3317
131.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー,富士マリオットホテル山中湖,山梨県 南都留郡山中湖村平野1256-1,https://www.fuji-marriott.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2987
132.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー2階,ラフォーレ伊東温泉 湯の庭,静岡県 伊東市猪戸2-3-1,https://www.laforet.co.jp/ito/,https://www.hotelkyujin.com/hotel-detail?c_no=3424
133.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー,ウェスティンホテル仙台,宮城県 仙台市青葉区一番町1-9-1 仙台トラストタワー,https://www.the-westin-sendai.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3088
134.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー,南紀白浜マリオットホテル,和歌山県 西牟婁郡白浜町2428,https://www.shirahama-marriott.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2842
135.0,2024/02/12,株式会社 KPG HOTEL&RESORT,静岡県 熱海市水口町11-48,木の間の月,静岡県 熱海市水口町11-48,https://www.atamifufu.jp/konomanotsuki/,https://www.hotelkyujin.com/hotel-detail?c_no=2869
136.0,2024/02/12,株式会社 KPG HOTEL&RESORT,静岡県 熱海市水口町11-48,ふふ 京都,京都府 京都市左京区南禅寺草川町,https://www.fufukyoto.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2866
137.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー,琵琶湖マリオットホテル,滋賀県 守山市今浜町十軒家2876,https://www.biwako-marriott.com/,https://www.hotelkyujin.com/hotel-detail?c_no=3084
138.0,2024/02/12,株式会社 KPG HOTEL&RESORT,静岡県 熱海市水口町11-48,ふふ 奈良,奈良県 奈良市高畑町1184-1,https://www.fufunara.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2864
139.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー,イラフSUI ラグジュアリーコレクションホテル 沖縄宮古,沖縄県 宮古島市伊良部字伊良部長底原818番5,https://www.suihotels.com/iraphsui-miyako_okinawa/,https://www.hotelkyujin.com/hotel-detail?c_no=2797
140.0,2024/02/12,株式会社 KPG HOTEL&RESORT,山梨県 南都留郡富士河口湖町河口字水口2211-1,ふふ　河口湖,山梨県 南都留郡富士河口湖町河口字水口2211-1,https://www.fufukawaguchiko.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2458
141.0,2024/02/12,銀座ホテルマネジメント合同会社,東京都 中央区銀座7-10-9,イビススタイルズ東京銀座,東京都 中央区銀座7-10-9,https://all.accor.com/hotel/B9H6/index.ja.shtml,https://www.hotelkyujin.com/hotel-detail?c_no=3601
142.0,2024/02/12,株式会社 KPG HOTEL&RESORT,静岡県 熱海市水口町11-48,GLAMDAY VILLA UMITO MORITO KAZE　海森風,静岡県 熱海市西熱海町1-22-5,https://glamdayvilla.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2416
143.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 東京都品川区北品川4-7-35 御殿山トラストタワー,東京マリオットホテル,東京都 東京都品川区北品川4-7-36,https://tokyo-marriott.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2986
144.0,2024/02/12,株式会社 KPG HOTEL&RESORT,静岡県 熱海市水口町11-48,ふふ 熱海,静岡県 熱海市水口町11-48,https://www.atamifufu.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=331
145.0,2024/02/12,株式会社 KPG HOTEL&RESORT,神奈川県 足柄下郡箱根町小涌谷519-9,箱根・翠松園,神奈川県 足柄下郡箱根町小涌谷519-9,https://www.hakonesuishoen.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=330
146.0,2024/02/12,森トラスト・ホテルズ＆リゾーツ株式会社,東京都 品川区北品川4-7-35 御殿山トラストタワー2階,森トラスト・ホテルズ＆リゾーツ株式会社　本社,東京都 品川区北品川4-7-35 御殿山トラストタワー2階,https://www.mt-hr.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2946
147.0,2024/02/12,株式会社 KPG HOTEL & RESORT,静岡県 熱海市水口町11-48,ふふ 軽井沢 -陽光の風-／ふふ 旧軽井沢 -静養の森-,長野県 北佐久郡軽井沢町,https://www.fufujapan.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=3672
148.0,2024/02/12,株式会社大和屋別荘,愛媛県 松山市道後鷺谷町2-27,大和屋別荘,愛媛県 松山市道後鷺谷町2-27,https://yamatoyabesso.com/,https://www.hotelkyujin.com/hotel-detail?c_no=4148
149.0,2024/02/12,株式会社ホテル・ジャパン志賀,長野県 下高井郡山ノ内町平穏7149 志賀高原一の瀬,ホテルジャパン志賀,長野県 下高井郡山ノ内町平穏7149 志賀高原一の瀬,https://www.japanshiga.com/,https://www.hotelkyujin.com/hotel-detail?c_no=4153
150.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,皆生風雅,鳥取県 米子市皆生温泉3丁目16-1,https://www.kaike-fuga.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2837
151.0,2024/02/12,京都河原町三条ホテル合同会社,京都府 京都市中京区丸木材木町670－1 吉岡御池ビル3F,ヒルトン京都,京都府 都市中京区河原町通二条下る二丁目下丸屋町416番地,http://準備中,https://www.hotelkyujin.com/hotel-detail?c_no=4290
152.0,2024/02/12,Rosewood Japan Management合同会社,沖縄県 宮古島市平良荷川取川原822‐1 ローズウッド宮古島 開業準備室,ローズウッド宮古島,沖縄県 宮古島市平良荷川取川原822‐1 ローズウッド宮古島 開業準備室,https://www.rosewoodhotels.com/jp/miyakojima,https://www.hotelkyujin.com/hotel-detail?c_no=4057
153.0,2024/02/12,株式会社リーガロイヤルホテル東京,東京都 新宿区戸塚1丁目104番地19,リーガロイヤルホテル東京,東京都 新宿区戸塚1丁目104番地19,https://www.rihga.co.jp/tokyo,https://www.hotelkyujin.com/hotel-detail?c_no=1512
154.0,2024/02/12,株式会社琉球ホテルリゾート那覇,沖縄県 那覇市首里山川町1-132-1 子,ダブルツリーｂｙヒルトン那覇首里城,沖縄県 那覇市首里山川町1-132-1,https://doubletree-shuri.hiltonjapan.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2257
155.0,2024/02/12,株式会社共立メンテナンス,東京都 千代田区外神田２丁目１８ー８,ドーミーイン金沢,石川県 金沢市堀川新町2-25,https://www.hotespa.net/hotels/kanazawa/,https://www.hotelkyujin.com/hotel-detail?c_no=4111
156.0,2024/02/12,株式会社共立メンテナンス,東京都 千代田区外神田２丁目１８ー８,ドーミーイン水戸,茨城県 水戸市南町2丁目6-7,https://www.hotespa.net/hotels/mito/,https://www.hotelkyujin.com/hotel-detail?c_no=4112
157.0,2024/02/12,ダイワロイネットホテルズ株式会社,東京都 千代田区飯田橋2-18-2 大和ハウス九段ビル10F,ダイワロイネットホテル高松,香川県 高松市丸亀町8番地23,https://www.daiwaroynet.jp/takamatsu/,https://www.hotelkyujin.com/hotel-detail?c_no=1057
