No.,取得日,会社名,会社所在地,施設名称,施設所在地（勤務地),URL,抽出元URL
89.0,2024/02/12,沖縄UDS株式会社,沖縄県 那覇市牧志2-16-8 BITプラザビル3F,the rescape（ザ・リスケープ）,沖縄県 宮古島市城辺長間1901-1,https://okinawa-uds.co.jp/hotels/the-rescape/,https://www.hotelkyujin.com/hotel-detail?c_no=2799
90.0,2024/02/12,GHS株式会社 千歳ホテル事業所,北海道 千歳市北栄２丁目２ー１,ANAクラウンプラザホテル千歳,北海道 千歳市北栄２丁目２ー１,https://www.anacrowneplaza-chitose.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2794
91.0,2024/02/12,マンダリン・オリエンタル東京株式会社,東京都 中央区日本橋室町2-1-1,マンダリン オリエンタル 東京,東京都 中央区日本橋室町2-1-1,https://www.mandarinoriental.co.jp/tokyo/nihonbashi/luxury-hotel,https://www.hotelkyujin.com/hotel-detail?c_no=142
92.0,2024/02/12,サンワカルチャー株式会社,熊本県 菊池郡大津町室1484,エアポートホテル熊本,熊本県 菊池郡大津町室1484,https://www.airport-h.jp,https://www.hotelkyujin.com/hotel-detail?c_no=2807
93.0,2024/02/12,株式会社リロバケーションズ,東京都 新宿区新宿5-17-9 新宿野村證券ビル6階,セントラルリゾート宮古島,沖縄県 宮古島市平良字西里225,https://central-resort-miyakojima.com/,https://www.hotelkyujin.com/hotel-detail?c_no=2836
94.0,2024/02/12,株式会社ホテルロッソ,長野県 北佐久郡軽井沢町軽井沢東154-2,ホテルロッソ軽井沢,長野県 北佐久郡軽井沢町軽井沢東154-2,https://www.hotel-rosso.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2834
95.0,2024/02/12,[レジェンドランド大阪合同会社],東京都 千代田区丸の内3丁目1番1号,イビスバジェット大阪梅田,大阪府 大阪市北区万歳町３−２５,https://www.accorhotels.com/ja/brands/hotels-ibisbudget.shtml,https://www.hotelkyujin.com/hotel-detail?c_no=2827
96.0,2024/02/12,[株式会社ホテルニューオータニ高岡],富山県 高岡市新横町1番地,ホテルニューオータニ高岡,富山県 高岡市新横町1番地,https://www.newotani-takaoka.co.jp/,https://www.hotelkyujin.com/hotel-detail?c_no=2073
97.0,2024/02/12,合同会社奈良大宮町ホテルマネジメント,奈良県 奈良市大宮町7丁目１番３３号 奈良センタービルディング３階 （ノボテル奈良開業準備室）,ノボテル奈良,奈良県 奈良市大宮町7丁目１番３３号 奈良センタービルディング３階 （ノボテル奈良開業準備室）,http://準備中,https://www.hotelkyujin.com/hotel-detail?c_no=4346
98.0,2024/02/12,株式会社KTSオペレーション,静岡県 沼津市上土町100-1,沼津リバーサイドホテル,静岡県 沼津市上土町100-1,https://www.numazu-rs-hotel.com/,https://www.hotelkyujin.com/hotel-detail?c_no=4339
99.0,2024/02/12,UKホテルマネージメント合同会社,大阪府 大阪市北区芝田1-1-4 阪急ターミナルビル 8階,キャノピーbyヒルトン大阪梅田,大阪府 大阪市北区芝田,http://準備中,https://www.hotelkyujin.com/hotel-detail?c_no=4334
